split,category,outcome,treated_rows,coef,p,coef_bps
party_bucket,democrat,crsp_ret,552,0.004063,0.0017,40.63
party_bucket,republican,crsp_ret,1585,0.001291,0.1307,12.91
party_bucket,both,crsp_ret,4,0.003893,0.8567,38.93
party_bucket,democrat,abn_retail_oib,552,-0.009259,0.1754,-92.59
party_bucket,republican,abn_retail_oib,1585,0.003558,0.4416,35.58
party_bucket,both,abn_retail_oib,4,0.010533,0.81,105.33
party_bucket,democrat,abn_nonretail_oib,552,0.003783,0.3614,37.83
party_bucket,republican,abn_nonretail_oib,1585,-0.001134,0.7232,-11.34
party_bucket,both,abn_nonretail_oib,4,0.088902,0.1649,889.02
freshness,fresh,crsp_ret,554,0.003111,0.0284,31.11
freshness,stale,crsp_ret,1597,0.001678,0.0476,16.78
freshness,fresh,abn_retail_oib,554,-0.005633,0.4223,-56.33
freshness,stale,abn_retail_oib,1597,0.001609,0.7211,16.09
freshness,fresh,abn_nonretail_oib,554,-0.001734,0.6879,-17.34
freshness,stale,abn_nonretail_oib,1597,0.001016,0.7439,10.16
sp500_bucket,sp500,crsp_ret,1646,0.001426,0.0421,14.26
sp500_bucket,nonsp500,crsp_ret,505,0.004032,0.0283,40.32
sp500_bucket,sp500,abn_retail_oib,1646,-0.003273,0.4068,-32.73
sp500_bucket,nonsp500,abn_retail_oib,505,0.009217,0.3655,92.17
sp500_bucket,sp500,abn_nonretail_oib,1646,0.001583,0.5575,15.83
sp500_bucket,nonsp500,abn_nonretail_oib,505,-0.004579,0.4561,-45.79
