measure,window,treated_rows,coef,se,p
Abn. retail OIB,"[0,+0]",1080,-0.00206,0.00512,0.688
Abn. retail OIB,"[0,+1]",2151,-0.00038,0.0039,0.923
Abn. retail OIB,"[0,+3]",4276,-0.00092,0.00312,0.768
Abn. retail OIB,"[0,+5]",6283,-0.00072,0.00281,0.798
Abn. retail OIB,"[0,+10]",11518,0.00187,0.00225,0.405
Abn. residual OIB,"[0,+0]",1080,-0.00119,0.00329,0.717
Abn. residual OIB,"[0,+1]",2151,0.00016,0.00267,0.954
Abn. residual OIB,"[0,+3]",4276,-0.00115,0.00216,0.595
Abn. residual OIB,"[0,+5]",6283,-0.00038,0.00197,0.847
Abn. residual OIB,"[0,+10]",11518,-0.00038,0.00164,0.816
