k,coef,se,coef_bps,se_bps,p
-5,-0.0025433245147677966,0.0011274164450658791,-25.433245147677965,11.274164450658791,0.024078331070296555
-4,-0.0014603956558398067,0.0011797286524868175,-14.603956558398068,11.797286524868175,0.21575100979935335
-3,-4.636565028917525e-05,0.0008828962037448017,-0.46365650289175253,8.828962037448017,0.9581180535994691
-2,0.00025056871880052106,0.000948998488481107,2.5056871880052105,9.48998488481107,0.7917531913329414
-1,0.0009829675606766108,0.0007628357676400134,9.829675606766108,7.628357676400134,0.19754838695001986
0,0.0024577132697513235,0.0009166174976581173,24.577132697513235,9.166174976581173,0.007334350843192672
1,0.0015878104785061733,0.0009957357003392976,15.878104785061733,9.957357003392977,0.11080033881992946
2,4.29865638334135e-05,0.0010559554684632677,0.42986563833413505,10.559554684632676,0.9675281580831498
3,-0.000113723382462882,0.0010871104383107595,-1.13723382462882,10.871104383107594,0.9166847879110676
4,0.0022232350532813703,0.0010451558508252717,22.2323505328137,10.451558508252717,0.033405827837268864
5,0.0017843437402931303,0.0010764383810387506,17.843437402931304,10.764383810387505,0.09739176285211926
6,-0.0002853262486610786,0.0009352117144169153,-2.8532624866107863,9.352117144169153,0.7602957562586417
7,0.0007032347583817578,0.0008437848670186856,7.032347583817579,8.437848670186856,0.4046034349684582
8,6.355610619304123e-05,0.0007942417169461875,0.6355610619304123,7.9424171694618755,0.9362205120785685
9,-0.0015053360722151513,0.0010565555877454407,-15.053360722151513,10.565555877454408,0.15422809014801264
10,6.65345762517033e-05,0.0011158722444151899,0.6653457625170329,11.158722444151898,0.9524538472770558
